epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1201.4,0.64208,1.24819,0.56199,1.1413,0.93873,0.92805,0.95121,0.8209,0.6986,0.64217,0.59774,0.47534,0.56783,0.97091,0.31653,1.11499,0.008614,0.008614,0.008614
30,2470.02,0.62029,1.18152,0.5135,1.11613,0.92772,0.90646,0.9429,0.81788,0.70825,0.63601,0.60001,0.47912,0.55429,0.92576,0.3175,1.10419,0.0085645,0.0085645,0.0085645
31,3820.48,0.61154,1.16563,0.496,1.10727,0.97691,0.86382,0.93388,0.81068,0.72925,0.64371,0.58877,0.46971,0.57569,0.93412,0.35995,1.12304,0.008515,0.008515,0.008515
32,5022.33,0.60759,1.19538,0.48994,1.10422,0.93623,0.93608,0.94852,0.82672,0.69639,0.63687,0.59807,0.47553,0.56521,0.92342,0.31312,1.11947,0.0084655,0.0084655,0.0084655
33,6225.09,0.60194,1.14647,0.47768,1.09911,0.93776,0.9334,0.94501,0.82432,0.68273,0.62621,0.57638,0.46887,0.55425,0.95679,0.30583,1.09978,0.008416,0.008416,0.008416
34,7434.77,0.58886,1.12035,0.46022,1.08673,0.95495,0.89769,0.92889,0.80689,0.6974,0.64247,0.59653,0.47501,0.54724,0.93962,0.30768,1.09283,0.0083665,0.0083665,0.0083665
35,8639.32,0.59358,1.13551,0.46838,1.0895,0.92602,0.91722,0.93997,0.81853,0.70032,0.64224,0.60821,0.47156,0.54984,0.97347,0.31483,1.09287,0.008317,0.008317,0.008317
36,9843.44,0.57986,1.12696,0.45301,1.07933,0.94206,0.93393,0.94516,0.83458,0.68833,0.64133,0.58418,0.47395,0.55718,0.95696,0.30907,1.09927,0.0082675,0.0082675,0.0082675
37,11047.6,0.58523,1.10906,0.4593,1.08268,0.93535,0.94622,0.95268,0.8343,0.69185,0.6434,0.58104,0.47023,0.55386,1.00321,0.30712,1.09807,0.008218,0.008218,0.008218
38,12253.4,0.57899,1.11679,0.45515,1.0795,0.93279,0.9006,0.9313,0.80877,0.69763,0.65107,0.58995,0.4722,0.55434,0.9672,0.33519,1.10834,0.0081685,0.0081685,0.0081685
39,13458.8,0.57594,1.11433,0.44554,1.07658,0.94667,0.91387,0.94666,0.82807,0.70969,0.65039,0.61257,0.48804,0.54851,0.95994,0.30117,1.10354,0.008119,0.008119,0.008119
40,14664,0.56992,1.09158,0.44049,1.07059,0.94972,0.92021,0.94503,0.82927,0.68849,0.65581,0.59599,0.48478,0.53495,0.93408,0.29956,1.09026,0.0080695,0.0080695,0.0080695
41,15869.3,0.56814,1.08963,0.43544,1.06911,0.92823,0.9442,0.95073,0.8325,0.69814,0.6448,0.60333,0.49027,0.54763,0.93194,0.30328,1.10601,0.00802,0.00802,0.00802
