                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9294,                 5.1967,                 11.189,                 3.3902,                0.01057,                0.54884,                0.02978,                0.00799,                0.00453,                0.32523,                0.00708,                0.00148,                 2.5054,                 4.7766,                 4.1936,                 3.0707,              0.0033312,              0.0033312,              0.0033312
                      2,                 2.4202,                 4.6797,                  5.099,                 2.8749,                0.01514,                0.71103,                 0.0578,                0.01423,                0.00468,                0.33532,                0.01484,                 0.0029,                 2.4684,                 4.7028,                 3.0751,                 3.0338,              0.0066513,              0.0066513,              0.0066513
                      3,                 2.3492,                 4.6385,                 3.7399,                 2.8071,                 0.0119,                0.53503,                0.02362,                0.00607,                0.00342,                0.24817,                0.00954,                0.00226,                 2.5448,                 4.7534,                  3.307,                 3.1229,              0.0099583,              0.0099583,              0.0099583
                      4,                 2.3306,                 4.5888,                 3.4794,                 2.8049,                0.01451,                 0.7669,                0.06659,                0.01643,                0.00488,                0.34174,                   0.01,                 0.0021,                 2.4175,                 4.6582,                 3.2029,                 3.0101,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3021,                  4.553,                 3.3328,                 2.7852,                0.57734,                 0.0445,                0.07881,                0.01969,                0.55779,                0.02615,                0.01486,                 0.0028,                 2.3319,                  4.538,                 2.9766,                 2.9137,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.2443,                 4.4998,                 3.2206,                 2.7328,                0.26402,                0.10799,                0.11009,                0.02656,                 0.6065,                0.06284,                0.03594,                0.00847,                  2.425,                 4.3404,                 2.8967,                 3.0346,              0.0099208,              0.0099208,              0.0099208
                      7,                 2.2206,                 4.4022,                  3.152,                 2.7136,                0.60108,                0.04908,                0.08202,                0.02151,                0.58656,                0.03532,                0.03016,                0.00691,                 2.2626,                 4.5291,                 3.1445,                 2.9109,               0.009901,               0.009901,               0.009901
                      8,                 2.2018,                 4.3661,                 3.0993,                 2.7005,                0.03321,                0.54392,                0.06448,                0.01696,                0.06968,                 0.0344,                0.02211,                0.00512,                 2.3258,                 4.5567,                  3.186,                 2.9579,              0.0098812,              0.0098812,              0.0098812
                      9,                  2.167,                 4.3503,                 3.0457,                 2.6286,                 0.5792,                0.05046,                0.05091,                 0.0141,                 0.5557,                0.02982,                0.01794,                0.00531,                 2.3434,                 4.5275,                  3.253,                 2.9257,              0.0098614,              0.0098614,              0.0098614
                     10,                 2.1575,                 4.3379,                 3.0159,                 2.6429,                0.18983,                0.10179,                0.09132,                0.02686,                0.10031,                0.05734,                0.03892,                0.00976,                 2.2276,                 4.2579,                 2.7358,                 2.8561,              0.0098416,              0.0098416,              0.0098416
                     11,                 2.1534,                 4.3256,                 3.0167,                 2.6518,                0.51521,                0.07459,                0.09937,                 0.0278,                0.10636,                0.04587,                0.03752,                0.01013,                 2.2969,                 4.3311,                 2.9284,                 2.9105,              0.0098218,              0.0098218,              0.0098218
                     12,                 2.1404,                 4.3001,                 2.9557,                 2.6534,                 0.2253,                0.06739,                0.07342,                0.01944,                  0.089,                0.02982,                0.02517,                0.00583,                 2.3789,                 4.4372,                  3.072,                 2.9773,               0.009802,               0.009802,               0.009802
                     13,                 2.1169,                 4.2287,                 2.9405,                 2.6281,                0.19747,                0.18911,                0.11526,                0.03285,                0.12224,                0.05505,                0.05099,                0.01437,                 2.2561,                 4.0884,                 2.6684,                  2.858,              0.0097822,              0.0097822,              0.0097822
                     14,                 2.1042,                 4.1698,                 2.8929,                 2.5977,                0.19195,                0.12354,                0.10747,                0.03189,                0.14639,                0.05906,                 0.0584,                0.01598,                 2.2182,                  4.146,                 2.7763,                 2.8724,              0.0097624,              0.0097624,              0.0097624
                     15,                  2.095,                 4.1631,                   2.86,                 2.6004,                0.02188,                0.39742,                0.03601,                0.00968,                0.01447,                0.10917,                0.01565,                0.00343,                 2.4442,                 4.7822,                 3.9762,                 2.9583,              0.0097426,              0.0097426,              0.0097426
                     16,                 2.0794,                 4.1558,                  2.839,                 2.5577,                0.24803,                0.18882,                0.15793,                0.04255,                 0.1046,                 0.0656,                0.05578,                0.01407,                 2.2313,                 4.0033,                 2.6052,                 2.8333,              0.0097228,              0.0097228,              0.0097228
                     17,                 2.0872,                 4.1588,                 2.8593,                 2.5787,                0.19771,                0.19215,                0.13794,                 0.0401,                 0.1336,                0.07752,                0.07077,                0.01866,                 2.2017,                 4.0037,                 2.5868,                 2.8237,               0.009703,               0.009703,               0.009703
                     18,                 2.0782,                 4.1256,                  2.841,                 2.5709,                 0.1969,                0.18264,                0.11515,                0.03239,                0.09535,                0.07064,                0.04648,                0.01157,                 2.2694,                 4.2061,                 2.8472,                 2.8809,              0.0096832,              0.0096832,              0.0096832
                     19,                 2.0673,                 4.0851,                 2.8074,                 2.5768,                0.18629,                0.09751,                0.08079,                0.02197,                0.06974,                0.04128,                0.02853,                0.00722,                 2.3607,                 4.3605,                 3.3359,                  2.925,              0.0096634,              0.0096634,              0.0096634
                     20,                 2.0388,                 4.0876,                 2.7605,                 2.5682,                0.21424,                0.21412,                0.15585,                 0.0475,                0.11594,                0.09174,                0.07475,                0.02097,                 2.1371,                 3.9632,                 2.5404,                 2.7698,              0.0096436,              0.0096436,              0.0096436
                     21,                 2.0403,                 4.0603,                 2.7645,                 2.5491,                0.22018,                0.18356,                0.15677,                0.04454,                0.12078,                0.08021,                0.07003,                0.01863,                 2.1954,                 4.0471,                 2.7046,                 2.8029,              0.0096238,              0.0096238,              0.0096238
                     22,                  2.055,                 4.0589,                 2.6956,                 2.5484,                0.17357,                0.19418,                0.11012,                0.03128,                0.08105,                0.07523,                0.04432,                 0.0112,                 2.1872,                 4.0887,                 2.7779,                 2.8271,               0.009604,               0.009604,               0.009604
                     23,                 2.0435,                 4.0439,                 2.7154,                 2.5343,                 0.2558,                0.27789,                0.19011,                0.05588,                 0.1443,                0.10275,                0.08307,                0.02324,                 2.1573,                  3.893,                 2.5027,                 2.7989,              0.0095842,              0.0095842,              0.0095842
                     24,                 2.0376,                 4.0039,                 2.6706,                 2.5336,                 0.2136,                0.24193,                0.16213,                  0.051,                0.12836,                0.10963,                0.08956,                0.02624,                 2.1337,                 3.9299,                 2.4839,                 2.7454,              0.0095644,              0.0095644,              0.0095644
                     25,                 2.0245,                 3.9874,                 2.6542,                 2.5096,                0.25159,                0.26919,                0.18773,                0.05683,                0.13544,                0.10642,                 0.0875,                0.02454,                 2.1368,                 3.8471,                 2.4688,                 2.7659,              0.0095446,              0.0095446,              0.0095446
                     26,                 2.0064,                 3.9701,                 2.6199,                 2.5194,                0.24586,                0.25951,                0.18647,                0.05577,                0.12556,                0.10321,                0.08214,                0.02361,                 2.1203,                 3.9047,                 2.4488,                 2.7327,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.9927,                 3.9116,                 2.5799,                 2.5027,                0.30719,                0.29816,                   0.23,                0.06996,                0.16491,                0.11972,                0.10981,                0.03279,                 2.1057,                 3.8114,                 2.4145,                 2.7223,               0.009505,               0.009505,               0.009505
                     28,                 1.9927,                 3.8845,                 2.5506,                 2.5006,                0.26194,                0.30432,                0.22051,                0.06548,                0.15744,                0.11789,                0.10964,                0.03045,                 2.1601,                  3.862,                 2.3475,                 2.7611,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.9794,                   3.87,                 2.5326,                 2.4683,                0.24195,                0.27822,                 0.2058,                0.06427,                0.15521,                0.12569,                0.10609,                0.03014,                 2.1169,                 3.8792,                 2.4302,                 2.7424,              0.0094654,              0.0094654,              0.0094654
                     30,                 2.0028,                 3.9069,                 2.5182,                 2.4702,                 0.2659,                0.29998,                 0.2209,                0.07222,                  0.164,                0.13009,                0.12165,                0.03712,                 2.1281,                 3.7919,                 2.3019,                 2.7362,              0.0094456,              0.0094456,              0.0094456
